Name: CCTV1综合, URL: http://122.234.254.49:4000/rtp/233.50.200.44:5140$720x576, Date: None, Resolution: 720x576, Response Time: 214.44733333333332fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.200.72:5140$720x576, Date: None, Resolution: 720x576, Response Time: 214.16266666666667fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.200.44:5140$720x576, Date: None, Resolution: 720x576, Response Time: 213.43866666666665fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.200.134:5140$720x576, Date: None, Resolution: 720x576, Response Time: 213.25799999999998fps
Name: CCTV1综合, URL: http://122.234.254.49:4000/rtp/233.50.200.134:5140$720x576, Date: None, Resolution: 720x576, Response Time: 212.2142857142857fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.201.216:5140$720x576, Date: None, Resolution: 720x576, Response Time: 212.02799999999996fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.202.22:5140$720x576, Date: None, Resolution: 720x576, Response Time: 211.90846153846152fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.216:5140$720x576, Date: None, Resolution: 720x576, Response Time: 211.85777777777778fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.200.44:5140$720x576, Date: None, Resolution: 720x576, Response Time: 211.02666666666667fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.202.21:5140$720x576, Date: None, Resolution: 720x576, Response Time: 210.75142857142856fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.164:5140$720x576, Date: None, Resolution: 720x576, Response Time: 210.6957142857143fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.200.243:5140$720x576, Date: None, Resolution: 720x576, Response Time: 210.4607142857143fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.44:5140$720x576, Date: None, Resolution: 720x576, Response Time: 209.85142857142858fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.200.218:5140$720x576, Date: None, Resolution: 720x576, Response Time: 209.6307142857143fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.201.88:5140$720x576, Date: None, Resolution: 720x576, Response Time: 209.5957142857143fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.200.220:5140$720x576, Date: None, Resolution: 720x576, Response Time: 209.595fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.202.22:5140$720x576, Date: None, Resolution: 720x576, Response Time: 208.19666666666666fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.200.220:5140$720x576, Date: None, Resolution: 720x576, Response Time: 207.61571428571426fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.1:5140$720x576, Date: None, Resolution: 720x576, Response Time: 207.52066666666667fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.200.218:5140$720x576, Date: None, Resolution: 720x576, Response Time: 205.29000000000002fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.128:5140$720x576, Date: None, Resolution: 720x576, Response Time: 205.04866666666666fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.127:5140$720x576, Date: None, Resolution: 720x576, Response Time: 204.73199999999997fps
Name: CCTV1综合, URL: http://122.234.254.49:4000/rtp/233.50.200.72:5140$720x576, Date: None, Resolution: 720x576, Response Time: 154.79071428571427fps
Name: CCTV1综合, URL: http://125.109.62.72:9999/rtp/233.50.201.216:5140$720x576, Date: None, Resolution: 720x576, Response Time: 121.39875fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.202.21:5140$720x576, Date: None, Resolution: 720x576, Response Time: 106.528fps
Name: CCTV1综合, URL: http://125.109.62.72:9999/rtp/233.50.201.128:5140$720x576, Date: None, Resolution: 720x576, Response Time: 79.13fps
Name: CCTV1综合, URL: http://125.109.62.72:9999/rtp/233.50.201.135:5140$720x576, Date: None, Resolution: 720x576, Response Time: 61.1fps
Name: CCTV1综合, URL: http://125.109.62.72:9999/rtp/233.50.200.220:5140$720x576, Date: None, Resolution: 720x576, Response Time: 44.2fps
Name: CCTV1综合, URL: http://125.109.62.72:9999/rtp/233.50.200.218:5140$720x576, Date: None, Resolution: 720x576, Response Time: 43.3fps
Name: CCTV1综合, URL: http://125.109.62.72:9999/rtp/233.50.200.178:5140$720x576, Date: None, Resolution: 720x576, Response Time: 38.94fps
Name: CCTV1综合, URL: http://125.109.62.72:9999/rtp/233.50.201.217:5140$720x576, Date: None, Resolution: 720x576, Response Time: 38.125fps
Name: CCTV1综合, URL: http://125.109.62.72:9999/rtp/233.50.201.166:5140$720x576, Date: None, Resolution: 720x576, Response Time: 35.870000000000005fps
Name: CCTV1综合, URL: http://125.109.62.72:9999/rtp/233.50.202.22:5140$720x576, Date: None, Resolution: 720x576, Response Time: 33.05fps
Name: CCTV2财经, URL: http://125.109.62.72:9999/rtp/233.50.201.119:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 217.14777777777775fps
Name: CCTV2财经, URL: http://125.109.62.72:9999/rtp/233.50.200.25:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 214.09230769230768fps
Name: CCTV2财经, URL: http://115.201.88.156:9999/rtp/233.50.200.25:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 205.5776923076923fps
Name: CCTV2财经, URL: http://183.158.169.240:9999/rtp/233.50.200.25:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 204.13fps
Name: CCTV2财经, URL: http://115.201.88.156:9999/rtp/233.50.201.119:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 204.03230769230768fps
Name: CCTV2财经, URL: http://183.158.169.240:9999/rtp/233.50.201.119:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 178.7992307692308fps
Name: CCTV2财经, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.119:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 174.70846153846156fps
Name: CCTV2财经, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.25:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 171.108fps
Name: CCTV2财经, URL: http://122.234.254.49:4000/rtp/233.50.201.119:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 134.72fps
Name: CCTV2财经, URL: http://115.201.88.156:9999/rtp/233.50.201.2:5140$720x576, Date: None, Resolution: 720x576, Response Time: 244.64636363636365fps
Name: CCTV2财经, URL: http://183.158.169.240:9999/rtp/233.50.201.2:5140$720x576, Date: None, Resolution: 720x576, Response Time: 244.60181818181817fps
Name: CCTV2财经, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.47:5140$720x576, Date: None, Resolution: 720x576, Response Time: 243.83916666666667fps
Name: CCTV2财经, URL: http://122.234.254.49:4000/rtp/233.50.201.2:5140$720x576, Date: None, Resolution: 720x576, Response Time: 243.24727272727273fps
Name: CCTV2财经, URL: http://183.158.169.240:9999/rtp/233.50.200.47:5140$720x576, Date: None, Resolution: 720x576, Response Time: 241.22727272727275fps
Name: CCTV2财经, URL: http://122.234.254.49:4000/rtp/233.50.200.47:5140$720x576, Date: None, Resolution: 720x576, Response Time: 241.11083333333335fps
Name: CCTV2财经, URL: http://115.201.88.156:9999/rtp/233.50.200.47:5140$720x576, Date: None, Resolution: 720x576, Response Time: 241.0772727272727fps
Name: CCTV2财经, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.2:5140$720x576, Date: None, Resolution: 720x576, Response Time: 236.63416666666666fps
Name: CCTV2财经, URL: http://125.109.62.72:9999/rtp/233.50.200.47:5140$720x576, Date: None, Resolution: 720x576, Response Time: 235.16583333333332fps
Name: CCTV2财经, URL: http://125.109.62.72:9999/rtp/233.50.201.2:5140$720x576, Date: None, Resolution: 720x576, Response Time: 229.09fps
Name: CCTV3综艺[高清], URL: http://115.201.88.156:9999/rtp/233.50.201.196:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 211.505fps
Name: CCTV3综艺[高清], URL: http://183.158.169.240:9999/rtp/233.50.201.196:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 205.7776923076923fps
Name: CCTV3综艺[高清], URL: http://125.109.62.72:9999/rtp/233.50.201.196:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 204.69833333333332fps
Name: CCTV3综艺[高清], URL: http://122.234.254.49:4000/rtp/233.50.201.196:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 177.6183333333333fps
Name: CCTV3综艺[高清], URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.196:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 165.89000000000001fps
Name: CCTV3综艺[高清], URL: http://125.109.62.72:9999/rtp/233.50.201.16:5140$720x576, Date: None, Resolution: 720x576, Response Time: 238.03818181818184fps
Name: CCTV3综艺[高清], URL: http://115.201.88.156:9999/rtp/233.50.201.16:5140$720x576, Date: None, Resolution: 720x576, Response Time: 236.7909090909091fps
Name: CCTV3综艺[高清], URL: http://183.158.169.240:9999/rtp/233.50.201.16:5140$720x576, Date: None, Resolution: 720x576, Response Time: 236.77636363636364fps
Name: CCTV3综艺[高清], URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.16:5140$720x576, Date: None, Resolution: 720x576, Response Time: 232.23846153846156fps
Name: CCTV3综艺[高清], URL: http://122.234.254.49:4000/rtp/233.50.201.16:5140$720x576, Date: None, Resolution: 720x576, Response Time: 229.77076923076925fps
Name: CCTV4中文国际, URL: http://122.234.254.49:4000/rtp/233.50.201.4:5140$720x576, Date: None, Resolution: 720x576, Response Time: 234.89416666666668fps
Name: CCTV4中文国际, URL: http://115.201.88.156:9999/rtp/233.50.201.4:5140$720x576, Date: None, Resolution: 720x576, Response Time: 234.525fps
Name: CCTV4中文国际, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.4:5140$720x576, Date: None, Resolution: 720x576, Response Time: 234.29666666666665fps
Name: CCTV4中文国际, URL: http://125.109.62.72:9999/rtp/233.50.201.4:5140$720x576, Date: None, Resolution: 720x576, Response Time: 234.26166666666666fps
Name: CCTV4中文国际, URL: http://183.158.169.240:9999/rtp/233.50.201.4:5140$720x576, Date: None, Resolution: 720x576, Response Time: 234.18666666666667fps
Name: CCTV5体育, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.245:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 218.09454545454545fps
Name: CCTV5体育, URL: http://125.109.62.72:9999/rtp/233.50.201.197:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 203.65444444444444fps
Name: CCTV5体育, URL: http://115.201.88.156:9999/rtp/233.50.200.245:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 201.22615384615384fps
Name: CCTV5体育, URL: http://125.109.62.72:9999/rtp/233.50.200.245:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 192.779fps
Name: CCTV5体育, URL: http://183.158.169.240:9999/rtp/233.50.200.245:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 188.2807692307692fps
Name: CCTV5体育, URL: http://122.234.254.49:4000/rtp/233.50.201.197:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 175.68666666666667fps
Name: CCTV5体育, URL: http://115.201.88.156:9999/rtp/233.50.201.197:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 175.38545454545456fps
Name: CCTV5体育, URL: http://183.158.169.240:9999/rtp/233.50.201.197:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 174.75583333333333fps
Name: CCTV5体育, URL: http://122.234.254.49:4000/rtp/233.50.200.245:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 173.97363636363636fps
Name: CCTV5体育, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.197:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 152.11333333333334fps
Name: CCTV5体育, URL: http://183.158.169.240:9999/rtp/233.50.201.17:5140$720x576, Date: None, Resolution: 720x576, Response Time: 250.82500000000002fps
Name: CCTV5体育, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.17:5140$720x576, Date: None, Resolution: 720x576, Response Time: 248.97727272727272fps
Name: CCTV5体育, URL: http://115.201.88.156:9999/rtp/233.50.201.17:5140$720x576, Date: None, Resolution: 720x576, Response Time: 245.63090909090909fps
Name: CCTV5体育, URL: http://122.234.254.49:4000/rtp/233.50.201.17:5140$720x576, Date: None, Resolution: 720x576, Response Time: 238.855fps
Name: CCTV5体育, URL: http://125.109.62.72:9999/rtp/233.50.201.17:5140$720x576, Date: None, Resolution: 720x576, Response Time: 235.10999999999999fps
Name: CCTV6电影, URL: http://125.109.62.72:9999/rtp/233.50.201.198:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 215.98692307692306fps
Name: CCTV6电影, URL: http://115.201.88.156:9999/rtp/233.50.201.198:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 211.59384615384616fps
Name: CCTV6电影, URL: http://183.158.169.240:9999/rtp/233.50.201.198:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 207.27384615384614fps
Name: CCTV6电影, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.198:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 191.389fps
Name: CCTV6电影, URL: http://122.234.254.49:4000/rtp/233.50.201.198:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 182.26666666666665fps
Name: CCTV6电影, URL: http://183.158.169.240:9999/rtp/233.50.201.18:5140$720x576, Date: None, Resolution: 720x576, Response Time: 247.45083333333332fps
Name: CCTV6电影, URL: http://125.109.62.72:9999/rtp/233.50.201.18:5140$720x576, Date: None, Resolution: 720x576, Response Time: 246.945fps
Name: CCTV6电影, URL: http://115.201.88.156:9999/rtp/233.50.201.18:5140$720x576, Date: None, Resolution: 720x576, Response Time: 246.57166666666666fps
Name: CCTV6电影, URL: http://122.234.254.49:4000/rtp/233.50.201.18:5140$720x576, Date: None, Resolution: 720x576, Response Time: 246.25416666666666fps
Name: CCTV6电影, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.18:5140$720x576, Date: None, Resolution: 720x576, Response Time: 240.4746153846154fps
Name: CCTV7国防军事, URL: http://115.201.88.156:9999/rtp/233.50.201.120:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 204.91454545454545fps
Name: CCTV7国防军事, URL: http://125.109.62.72:9999/rtp/233.50.200.24:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 204.68625fps
Name: CCTV7国防军事, URL: http://125.109.62.72:9999/rtp/233.50.201.120:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 202.64125fps
Name: CCTV7国防军事, URL: http://115.201.88.156:9999/rtp/233.50.200.24:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 199.422fps
Name: CCTV7国防军事, URL: http://183.158.169.240:9999/rtp/233.50.200.24:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 195.24555555555557fps
Name: CCTV7国防军事, URL: http://183.158.169.240:9999/rtp/233.50.201.120:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 189.243fps
Name: CCTV7国防军事, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.120:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 162.994fps
Name: CCTV7国防军事, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.24:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 149.57727272727274fps
Name: CCTV7国防军事, URL: http://122.234.254.49:4000/rtp/233.50.201.120:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 70.5fps
Name: CCTV7国防军事, URL: http://122.234.254.49:4000/rtp/233.50.200.24:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 49.56666666666666fps
